Código,Município,População,Taxa de alfabetização,PIB,PIB per capita,Renda per capita,Homicídios por 100 mil hab.,Expectativa de vida 2010,IDHM 2010
4304853,Carlos Gomes,1.368,"0,9723386421",70.447,"51.496,35",596,0,"78,14","0,739"
4304903,Casca,9.465,"0,9776194049",717.919,"75.849,87",863,"11,02","75,81","0,785"
4304952,Caseiros,3.000,"0,9416118421",199.196,"66.398,67",533,"30,97","74,99","0,703"
4305009,Catuípe,8.674,"0,9580005508",638.109,"73.565,71",747,0,"75,52","0,739"
4305108,Caxias do Sul,463.338,"0,9834247076",31.688.460,"68.391,67",1039,"21,95","76,58","0,782"
4305116,Centenário,2.721,"0,9781771502",120.778,"44.387,36",558,"34,9","76,36","0,701"
4305124,Cerrito,5.808,"0,9237357259",161.327,"27.776,69",422,0,"74,41","0,649"
4305132,Cerro Branco,3.802,"0,9050195371",90.158,"23.713,31",451,0,"73,93","0,661"
4305157,Cerro Grande,2.379,"0,885075403",74.561,"31.341,32",429,0,"73,19","0,674"
4305173,Cerro Grande do Sul,9.178,"0,9295888202",203.183,"22.138,05",443,0,"76,28","0,66"
4305207,Cerro Largo,13.705,"0,9702308627",796.775,"58.137,54",732,"7,02","75,91","0,764"
4305306,Chapada,9.540,"0,9668998251",741.826,"77.759,54",717,0,"75,95","0,757"
4305355,Charqueadas,35.012,"0,9686039265",1.736.974,"49.610,82",660,"2,39","77,22","0,747"
4305371,Charrua,2.768,"0,9370386452",149.351,"53.956,29",576,0,"78,12","0,62"
4305405,Chiapetta,3.913,"0,9539184953",388.835,"99.370,05",770,0,"75,98","0,732"
4305439,Chuí,6.262,"0,982844604",370.301,"59.134,62",462,"14,63","72,52","0,706"
4305447,Chuvisca,4.597,"0,9284578696",129.739,"28.222,54",428,0,"74,1","0,616"
4305454,Cidreira,17.071,"0,9671047906",362.059,"21.209,01",684,"23,67","75,89","0,729"
4305504,Ciríaco,4.146,"0,9595756881",264.360,"63.762,66",582,0,"76,31","0,719"
4305587,Colinas,2.423,"0,9829517779",87.209,"35.992,16",896,0,"75,38","0,765"
4305603,Colorado,3.258,"0,959198282",338.157,"103.792,82",853,0,"75,07","0,758"
4305702,Condor,6.406,"0,9584450402",624.705,"97.518,73",634,"14,77","76,1","0,747"
4305801,Constantina,10.385,"0,9554297842",432.348,"41.631,97",616,"10,09","78,12","0,754"
4305835,Coqueiro Baixo,1.290,"0,9494128275",52.163,"40.436,43",639,0,"78,14","0,692"
4305850,Coqueiros do Sul,2.211,"0,96094168",190.144,"85.999,10",780,"44,11","75,42","0,746"
4305871,Coronel Barros,2.822,"0,9802271771",226.125,"80.129,34",891,-,"76,11","0,744"
4305900,Coronel Bicaco,6.144,"0,9130257248",515.152,"83.846,35",466,0,"73,19","0,665"
4305934,Coronel Pilar,1.607,"0,969972067",49.059,"30.528,31",818,0,"75,07","0,727"
4305959,Cotiporã,3.846,"0,9777580071",167.928,"43.663,03",743,"26,15","75,07","0,741"
4305975,Coxilha,2.667,"0,9597189696",422.464,"158.404,20",615,0,"76,93","0,706"
4306007,Crissiumal,12.886,"0,9631260319",508.976,"39.498,37",558,0,"75,11","0,712"
4306056,Cristal,7.299,"0,9278943805",308.906,"42.321,69",504,"36,94","74,57","0,644"
4306072,Cristal do Sul,2.692,"0,9171570847",94.740,"35.193,16",365,0,"74,56","0,66"
4306106,Cruz Alta,58.913,"0,9649864682",4.609.384,"78.240,52",734,"50,36","76,49","0,75"
4306130,Cruzaltense,1.635,"0,9396735273",144.763,"88.540,06",591,0,"75,92","0,719"
4306205,Cruzeiro do Sul,11.600,"0,9698086173",533.002,"45.948,45",674,"16,05","74,98","0,723"
4306304,David Canabarro,4.321,"0,9570068027",229.362,"53.080,77",624,0,"77,2","0,762"
4306320,Derrubadas,2.751,"0,9341290893",148.407,"53.946,56",465,0,"75,74","0,707"
4306353,Dezesseis de Novembro,2.507,"0,9069013432",57.174,"22.805,74",387,"42,9","73,55","0,654"
4306379,Dilermando de Aguiar,2.806,"0,9051870748",267.901,"95.474,34",470,0,"76,85","0,648"
